payments,email,opened,agreement,credit_limit,risk_score
820,1,1,0,1652.0839095479876,0.5658982760702359
730,1,0,0,954.2523851569797,0.4668181648740583
650,1,1,1,1226.8436990214027,0.5057803969588658
530,1,0,0,1160.9161224322604,0.4945534338320795
510,1,1,0,1149.849451474049,0.49574067733884974
760,1,0,0,720.7542066843173,0.363399546096491
700,1,0,0,1193.0037870128667,0.5059235218021609
580,1,0,0,855.893709177008,0.40054282128866464
830,0,0,0,1888.7518983171647,0.595773364408084
590,1,1,0,1000.2979323120687,0.44172715172030735
670,1,0,0,953.4012786635569,0.4471735126047684
780,1,1,0,1365.0187067484364,0.5303774273397536
510,1,0,0,764.1372316102935,0.3916787371716203
620,0,0,0,1036.8666776996783,0.47219275136133254
870,1,1,0,1880.0512824967934,0.6052782625771196
670,0,0,0,1102.7699790090207,0.4899113338319801
610,1,0,0,1347.4000894691071,0.5131683675461396
690,0,0,0,2473.0246100559957,0.6626572125029172
560,1,0,0,879.5630305537562,0.4205454563301861
600,1,1,0,1279.7500497933304,0.5009545219840107
740,1,0,0,1441.139538002437,0.543735871662927
710,0,0,0,1387.0114625762444,0.5416227372089536
610,0,0,0,599.9860612148791,0.3272189947254229
750,1,0,0,1798.028193158978,0.6099159972988337
990,1,1,0,2301.978601176953,0.6493232724856237
740,0,0,0,975.757016096815,0.4629284125228148
490,1,0,0,819.1527557720397,0.4085260962726538
790,0,0,0,1171.5891754360196,0.4840019064242762
600,0,0,0,1223.7548265089572,0.49776009389162756
650,0,0,0,1074.0630494239058,0.45943233599979366
760,0,0,0,855.3228070119499,0.40626880259559855
680,1,0,0,1456.4479499807028,0.5702028245097018
860,1,1,1,1318.8379733721833,0.5337896106019948
650,1,0,0,979.1249728443754,0.4499928756749642
770,1,0,0,1713.3195520385725,0.5801534067382443
720,0,0,0,1136.9105830284986,0.47275830698673227
530,1,0,0,1084.3131912650142,0.5010027919352816
680,1,1,0,1670.4368543017836,0.5943617556716109
630,1,0,0,1076.252837317117,0.46338301006488825
780,0,0,0,1622.7401911408422,0.5602304181937654
620,0,0,0,1047.031041371608,0.44302734407462097
580,0,0,0,851.3645731288711,0.42198117246593864
620,1,1,0,1322.9237450220082,0.5300052611321023
700,1,0,0,1114.5794152565197,0.4950286345278967
580,0,0,0,1111.0615606861772,0.48698723417085155
550,1,0,0,1027.6189604610743,0.4430719864898584
