idenccc,ordentra,nuts1,cnace,estrato2,control,mercado,regulacion,sexo,tipopais,cno1,responsa,estu,anoanti,mesanti,tipojor,tipocon,fijodism,fijodisd,val,van,puentes,jap,jsp1,jsp2,hextra,drelabm,siespm1,dsiespm1,siespm2,dsiespm2,salbase,extraorm,phextra,comsal,comsaltt,irpfmes,cotiza,base,drelabam,drelabad,siespa1,dsiespa1,siespa2,dsiespa2,siespa3,dsiespa3,siespa4,dsiespa4,retrinoin,retriin,gextra,vespnoin,vespin,anos2,factotal,diasmes,diasrelaba,diasano,salmes,salmor,salneto,salanual,salaor,jmp1,salhora,treatment,outcome
00000006,01,1,Q0,1,2,1,1,6,1,D0,0,6,12,10,2,1,0,0,25,0,7,1305,25,0,0,31,6,0,6,0,803.65,0,0,155.61,0,0,60.92,959.26,12,0,1,55,1,112,6,0,6,0,6615.01,1133.82,1644.48,0,0,04,17.55,31,365,253,959.26,959.26,898.34,11179.1420948617,8806.6709486166,108.75,8.8207816091954,0,898.34
00000006,03,1,Q0,1,2,1,1,1,1,C0,0,6,4,8,2,1,0,0,0,30,0,835,16,0,0,31,6,0,6,0,490.54,0,0,95.52,64.32,0,37.21,586.06,12,0,1,17,6,0,6,0,6,0,7739.92,188.47,894.48,0,0,03,17.55,31,365,365,586.06,586.06,548.85,7928.39,7033.91,69.6,8.42040229885058,0,548.85
00000006,04,1,Q0,1,2,1,1,6,1,C0,0,6,0,10,1,2,0,0,25,0,4,1664,38,30,0,31,6,0,6,0,1166.66,0,0,0,0,23.33,74.08,1166.7,12,0,1,11,6,0,6,0,6,0,12407.11,191.71,0,0,0,03,17.55,31,365,365,1166.66,1166.66,1069.25,12598.82,12598.82,167.475,6.96617405582923,0,1069.25
00000006,05,1,Q0,1,2,1,1,6,1,C0,0,6,4,5,1,1,0,0,25,0,7,1664,38,30,0,31,6,0,6,0,1444.48,0,0,136.88,0,188.18,100.41,1581.36,12,0,1,4,6,0,6,0,6,0,19717.33,124.81,2633.76,0,0,03,17.55,31,365,365,1581.36,1581.36,1292.77,19842.14,17208.38,167.475,9.44236453201971,0,1292.77
00000036,01,1,Q0,3,2,1,2,6,1,B0,0,6,0,1,2,2,0,0,0,30,0,881,20,0,0,31,6,0,6,0,672.56,0,0,49.57,49.57,14.44,53.39,834.22,3,0,6,0,6,0,6,0,6,0,2687.32,0,336.27,0,0,04,18.93,31,91.26,91.26,722.13,722.13,654.3,10748.1021257944,9403.16951566952,87,8.30034482758621,0,654.3
00000036,15,1,Q0,3,2,1,2,1,1,B0,0,6,1,8,2,1,0,0,0,30,0,896,20,0,0,31,6,0,6,0,672.56,0,0,189.93,41.06,0,63.46,999.39,12,0,1,13,6,0,6,0,6,0,14250.66,338.86,1648.46,0,0,04,18.93,31,365,365,862.49,862.49,799.03,14589.52,12941.06,87,9.91367816091954,0,799.03
00000046,04,1,Q0,2,2,1,1,6,1,B0,0,6,2,11,1,1,0,0,0,30,0,1792,37,30,0,31,1,6,6,0,1141.04,0,0,0,0,89.57,104.47,1645.12,10,6,1,87,1,182,6,0,6,0,2141.57,3169.23,501.54,0,0,03,22.9,31,310.2,128.2,1141.04,1141.04,947,15120.4524180967,13692.5109204368,163.125,6.99488122605364,0,947
00000046,08,1,Q0,2,2,1,1,6,1,A0,0,6,20,0,1,1,0,0,0,30,0,1792,37,30,0,31,6,0,6,0,1807.74,0,0,497.25,0,394.38,166.7,2625.01,12,0,6,0,6,0,6,0,6,0,26401.42,0,3881.88,0,0,06,22.9,31,365,365,2304.99,2304.99,1743.91,26401.42,22519.54,163.125,14.1302068965517,0,1743.91
00000046,12,1,Q0,2,2,1,1,1,1,B0,0,6,1,8,2,1,0,0,0,30,0,430,9,0,0,31,6,0,6,0,300.29,0,0,19.52,0,6.4,23.48,369.85,12,0,6,0,6,0,6,0,6,0,4285.93,0,593.66,0,0,02,22.9,31,365,365,319.81,319.81,289.93,4285.93,3692.27,39.15,8.16883780332056,0,289.93
00000046,16,1,Q0,2,2,1,1,6,1,C0,1,6,1,6,1,1,0,0,0,30,0,1792,37,50,0,31,6,0,6,0,1807.74,0,0,1177.5,0,574.06,207.7,3286.54,12,0,6,0,6,0,6,0,6,0,38615.86,0,3654.76,0,0,03,22.9,31,365,365,2985.24,2985.24,2203.48,38615.86,34961.1,164.575,18.1390855233176,0,2203.48
00000397,08,1,Q0,2,1,1,2,6,1,B0,0,6,6,3,1,1,0,0,0,30,0,1575,35,0,0,31,1,31,6,0,2172.33,0,0,0,0,240.98,156.34,2462.1,12,0,1,269,6,0,6,0,6,0,14156.32,15868.52,3956.84,0,0,04,6.8,31,365,365,2172.33,2172.33,1775.01,30024.84,26068,152.25,14.2681773399015,1,1775.01
00000397,09,1,Q0,2,1,1,2,6,1,B0,0,6,28,4,1,1,0,0,0,30,0,1575,35,0,0,31,6,0,6,0,1553.31,0,0,709.02,113.12,244.91,174.46,2747.35,12,0,1,6,6,0,6,0,6,0,33090.61,348.35,4494.59,0,0,05,6.8,31,365,365,2262.33,2262.33,1842.96,33438.96,28944.37,152.25,14.8593103448276,1,1842.96
00000397,10,1,Q0,2,1,1,2,6,1,B0,0,6,3,3,1,1,0,0,0,30,0,1575,35,0,0,31,6,0,6,0,1553.31,0,0,433.89,113.12,294.04,154.08,2426.36,12,0,1,8,6,0,6,0,6,0,29254.63,357.06,4026.18,0,0,03,6.8,31,365,365,1987.2,1987.2,1539.08,29611.69,25585.51,152.25,13.0522167487685,1,1539.08
00000584,05,1,Q0,3,2,1,3,6,1,B0,0,6,40,0,2,2,0,0,0,30,0,1683,38,0,0,31,6,0,6,0,509.21,0,0,175.4,0,136.92,180.34,2840.09,12,0,6,0,6,0,6,0,6,0,9423.38,0,1208.06,0,0,06,30.31,31,365,365,684.61,684.61,367.35,9423.38,8215.32,165.3,4.14162129461585,0,367.35
00000584,14,1,Q0,3,2,1,3,6,1,B0,1,6,32,0,1,1,0,0,0,30,0,1683,38,0,0,31,6,0,6,0,2036.83,0,0,517.79,0,510.92,187.08,2946.08,12,0,1,24,6,0,6,0,6,0,35129.35,1440,4697.44,0,0,06,30.31,31,365,365,2554.62,2554.62,1856.62,36569.35,31871.91,165.3,15.45444646098,0,1856.62
00000584,15,1,Q0,3,2,1,3,1,1,B0,1,6,23,0,1,1,0,0,0,30,0,1683,38,0,0,31,6,0,6,0,2036.83,0,0,846.55,0,523.05,211.85,3336.1,12,0,1,12,6,0,6,0,6,0,40760.23,600.48,5432.56,0,0,04,30.31,31,365,365,2883.38,2883.38,2148.48,41360.71,35928.15,165.3,17.443315184513,0,2148.48
